name_lex,referencia
assembleia.legislativa,br;sp
camara.deputados,br
camara.legislativa,br
camara.municipal,br;sp;sao.paulo
camara.municipal;gabinete.presidente,br;sp;sao.paulo
camara.municipal;gabinete.presidente;agenda.camara.municipal.sao.paulo,br;sp;sao.paulo
camara.municipal;gabinete.presidente;comissao.julgamento.licitacoes,br;sp;sao.paulo
camara.municipal;gabinete.presidente;concursos,br;sp;sao.paulo
camara.municipal;gabinete.presidente;convocacao.almoxarifado,br;sp;sao.paulo
camara.municipal;gabinete.presidente;convocacao.compras,br;sp;sao.paulo
camara.municipal;gabinete.presidente;intimacoes.comissoes.processantes,br;sp;sao.paulo
camara.municipal;gabinete.presidente;mesa.camara,br;sp;sao.paulo
camara.municipal;gabinete.presidente;secretaria.camara,br;sp;sao.paulo
camara.municipal;gabinete.presidente;secretaria.comissoes,br;sp;sao.paulo
camara.municipal;gabinete.presidente;secretaria.contabilidade,br;sp;sao.paulo
camara.municipal;gabinete.presidente;secretaria.registro.parlamentar.revisao,br;sp;sao.paulo
camara.superior.recursos.fiscais;turma.1,br
camara.superior.recursos.fiscais;turma.2,br
camara.superior.recursos.fiscais;turma.3,br
camara.superior.recursos.fiscais;turma.4,br
congresso.nacional,br
distrital,br;df
estadual,br;rs
federal,br
ministerio.educacao,br
ministerio.planejamento.orcamento.gestao,br
municipal,br;sp;campinas
senado.federal,br
